;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
51;VVINF;ADJD;halten;35;NZZ_1997_11_14_a196_seg2_s4;31;Full|3|Pl|Pres|Ind;"In Zahlen ausgedrückt bedeutet dies , 24 Partien mit einer Mindest-Performance von mehr als 2600 Elo-Punkten zu spielen ( weltweit gibt es heutzutage etwa fünfzig Spieler , die ihr Rating konstant über 2600 Punkten halten ; für diese Spieler hat sich der inoffizielle Titel « Super-Grossmeister » eingebürgert ) .";prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
52;VVPP;ADJD;verschönern;27;NZZ_1999_05_17_a106_seg15_s9;26;Full|Psp;Doch ist das eigentliche Problem laut Louis Benech die fehlende Motivation der Angestellten : « Sicher , der Park hat sich in den letzten Jahren konstant verschönert .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
53;VVFIN;ADJD;lassen;22;NZZ_1995_08_05_a151_seg3_s24;26;Full|3|Pl|Pres|Ind;Die Klubs des alten Kontinents warten nicht mehr auf fertige Spieler , sondern nehmen bereits frühzeitig hoffnungsvolle Talente unter Vertrag und lassen Afrikas Fussball dadurch konstant zur Ader .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
54;VVFIN;ADJD;erweisen;3;NZZ_1996_04_23_a267_seg8_s8;18;Full|3|Sg|Past|Ind;Im Test erwies sich nämlich ein Murray Hickory Eisen von 1910 in den einzelnen Treffmomenten als besonders konstant .;nd;nd;not of interest;Vergleich;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
55;VVPP;ADJD;halten;14;NZZ_1999_02_19_a90_seg7_s3;13;Full|Psp;Der Gewinn vor Steuern konnte mit 67 nach 67 Mrd. £ fast konstant gehalten werden .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
56;VVINF;ADJD;halten;15;NZZ_1996_08_02_a81_seg9_s5;14;Full|-2;Die Paulaner-Brauerei AG konnte den Bierabsatz mit einem leichten Minus von 3% nahezu konstant halten , und beim Biergeschäft wurde nach mehreren Jahren mit roten Zahlen wieder ein Betriebsgewinn von 6 Mio. DM erwirtschaftet .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
57;VVPP;ADJD;halten;29;NZZ_1997_04_11_a36_seg4_s8;28;Full|Psp;Hunger herrscht nicht in Albanien , jedoch sind die Lebensmittelpreise seit Januar um 30 bis 40 Prozent gestiegen , nur der Brotpreis ist ein politischer und wird konstant gehalten .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
58;VVINF;ADJD;distanzieren;28;NZZ_1995_08_15_a14_seg12_s20;21;Full|-2;Angesichts der bevorstehenden schweizerischen Präsidentschaft in der OSZE entstünde für das IKRK die heikle Situation , sich gegenüber lokalen Verhandlungspartnern konstant von den politischen Interessen der Eidgenossenschaft distanzieren zu müssen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
59;VVINF;ADJD;halten;21;NZZ_1995_02_11_a61_seg3_s4;19;Full|-2;Die Fischer vom Untersee brauchen diese « Kinderstube » , um den Fischbestand in diesem Teil des Bodensees konstant zu halten .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
60;VVFIN;ADJD;halten;3;NZZ_1996_08_08_a93_seg8_s2;11;Full|3|Sg|Pres|Ind;Der Elektronikkonzern hält die Quartalsdividende mit $ 0.12 je Aktie konstant .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
61;VVINF;ADJD;gelten;7;NZZ_1996_01_19_a192_seg3_s26;3;Full|-2;Um aber konstant als solches zu gelten , müssen wir mehr trainieren » , fordert Rita Crockett .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
62;VVINF;ADJD;halten;31;NZZ_1997_09_24_a200_seg6_s1;30;Full|-2;Der Mensch gehört zu den Warmblütern : Um sich nicht der Gefahr einer gesundheitlichen Schädigung auszusetzen , muss er seine Rektaltemperatur von etwa 37 ºC in sehr engen Grenzen konstant halten .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
63;VVINF;ADJD;halten;19;NZZ_1996_11_06_a77_seg7_s5;17;Full|-2;Einzelne Länder haben in den letzten 18 Monaten versucht , die nationalen Preise durch marktregulierende Massnahmen konstant zu halten .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
64;VVFIN;ADJD;halten;23;NZZ_1996_10_22_a165_seg4_s9;22;Full|3|Sg|Pres|Ind;Gegen Aufpreis ist eine automatische Niveauregelung erhältlich , die das Fahrzeugniveau unabhängig von der Beladung ( Nutzlast : 515 kg ) konstant hält .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
65;VVPP;ADJD;verletzen;10;NZZ_1996_09_25_a159_seg9_s2;9;Full|Psp;Auch in Zürichs Partnerstadt Kunming werden die Menschenrechte konstant verletzt und Exekutionen durchgeführt .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
66;VVFIN;ADJD;fahren;12;NZZ_1997_02_03_a146_seg4_s5;14;Full|3|Sg|Past|Ind;Während seine Kontrahenten immer wieder in kräfteraubende Positionskämpfe verwickelt wurden , fuhr Pontoni konstant seine eigene Kadenz und sah den bevorstehenden Triumph in keinem Moment des Rennens gefährdet .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
67;VMFIN;ADJD;können;10;NZZ_1999_11_08_a134_seg6_s14;5;Mod|3|Sg|Pres|Ind;Weht der Wind nicht konstant über 18 Knoten , kann die Regatta stattfinden .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
68;VVFIN;ADJD;treiben;39;NZZ_1994_03_31_a245_seg3_s8;28;Full|3|Pl|Pres|Ind;( CH 1994 ) , erkennt man aber auch die geschlechtsspezifischen biographischen Risse und Brüche , die im gesellschaftlichen Spannungsfeld von Rollennorm und Rebellion so viele Künstlerinnen konstant an den Rand des Nervenzusammenbruchs , wenn nicht des Wahnsinns treiben .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
69;VVFIN;ADJD;setzen;6;NZZ_1996_08_27_a160_seg2_s7;9;Full|3|Sg|Past|Ind;Das Team von Claudio Ranieri setzte die Mailänder konstant unter Druck und demonstrierte auch individuelle Qualität .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
70;VVFIN;ADJD;blasen;20;NZZ_1997_07_18_a156_seg5_s10;14;Full|3|Sg|Past|Ind;Vor allem mit dem « way in » gegen den Wind , der konstant mit deutlich über 35 km/h blies , bekundete der 1997 auf der Tour noch nie an einem Cut gescheiterte Professional , vor einem Jahr als Amateur in Lytham & St. Annes 22. geworden , vorerst grosse Mühe .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
71;VVPP;ADJD;halten;26;NZZ_1996_05_14_a172_seg6_s11;25;Full|Psp;Neu gibt ' s elektrisches Licht , wird mit der überschüssigen Energie ein Boiler auf 60 Grad aufgeheizt und kann im Käsekeller die Raumtemperatur konstant gehalten werden .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
72;VVFIN;ADJD;liegen;14;NZZ_1994_07_01_a47_seg6_s9;12;Full|3|Sg|Pres|Ind;Wie soll der Schuldenberg abgetragen werden können , wenn dessen Realverzinsung konstant höher liegt als das reale Wirtschaftswachstum ?;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
73;VVPP;ADJD;verlieren;22;NZZ_1993_08_28_a153_seg12_s8;20;Full|Psp;Gegenüber dem US-Dollar , der Währung des wichtigsten Handelspartners , hat der « Loonie » in den letzten Wochen konstant Terrain verloren , und es dürften denn auch die Teilnehmer am Devisenmarkt sein , die bis zum Wahltermin mit den weithin sichtbarsten Äusserungen einer generellen Unsicherheit zu rechnen haben .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
74;VVIMP;ADJD;erodieren;4;NZZ_1999_04_27_a213_seg7_s7;9;Full|3|Sg|Pres|Ind;Seit mindestens 1987 erodiert der Wähleranteil der FDP konstant .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
75;VVIZU;ADJD;ausschöpfen;13;NZZ_1998_12_08_a205_seg3_s27;12;Full|zu;Die Angst vor Verletzungen hindert ihn offenbar daran , sein Potential konstant auszuschöpfen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
76;VVPP;ADJD;injizieren;15;NZZ_1998_05_07_a221_seg3_s12;12;Full|Psp;Ärztlich behandelt wurde sie konstant von Binus , der den Sportlerinnen konstant auch Spritzen injiziert habe .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
77;VVPP;ADJD;führen;19;NZZ_1994_06_04_a61_seg3_s5;14;Full|Psp;Verstärkt wird das Verlustpotential dieser Instrumente , wenn sie in den Büchern nicht konstant zu den aktuellen Marktpreisen geführt und wenn Verluste in der Hoffnung , der Markt werde sich wieder kehren , nicht realisiert , sondern weitergeschleppt werden .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
78;VVPP;ADJD;erweitern;19;NZZ_1995_11_17_a192_seg15_s2;18;Full|Psp;Als das Haus 1984 neu eröffnet wurde , erhielt es eine Infrastruktur für die Videoproduktion , die konstant erweitert wurde .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
79;VVFIN;ADJD;setzen;16;NZZ_1999_11_01_a158_seg5_s2;22;Full|3|Pl|Past|Ind;Unbeeindruckt davon , dass Frankreich nach 20 Minuten 10 : 6 in Führung ging , setzten die All Blacks ihren Gegner konstant unter Druck .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
80;VVINF;ADJD;halten;17;NZZ_1997_12_06_a197_seg3_s4;15;Full|-2;Ziel des Gemeinderates ist es , Schwankungen zu vermeiden und den Steuerfuss nach Möglichkeit konstant zu halten .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
81;VVFIN;ADJD;erweisen;3;NZZ_1996_05_22_a150_seg8_s8;6;Full|3|Sg|Pres|Ind;Die Patientenstruktur erweist sich als konstant - nach wie vor ist das Durchschnittsalter der Patienten sehr hoch : 1995 waren 53 Prozent über 60 Jahre alt ( 1994 : 52 Prozent ) , 18 Prozent waren 1995 über 80 Jahre alt ( 1994 : 20 Prozent ) .;nd;nd;not of interest;Vergleich;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
82;VVPP;ADJD;halten;32;NZZ_1999_10_07_a69_seg5_s5;31;Full|Psp;Der Regierung Blair warf er vor , dass sie auf heimliche Art die gesamtwirtschaftliche Steuerlast erhöht habe , indem sie zwar den in der Öffentlichkeit stark beachteten Normalsatz der Einkommensteuer konstant gehalten habe , aber gleichzeitig bei anderen Steuern , die weniger genau verfolgt werden , die Schraube kräftig angezogen habe .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
83;VVPP;ADJD;steigen;8;NZZ_1999_04_29_a137_seg2_s4;7;Full|Psp;Der Palladiumpreis war in jüngster Zeit konstant gestiegen , nachdem Befürchtungen aufkamen , dass im Zuge der Kosovo-Krise Russland seinen Palladiumexporten nicht nachkommen werde .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
84;VVFIN;ADJD;halten;23;NZZ_1993_12_08_a91_seg3_s9;27;Full|3|Pl|Past|Ind;"Die Schweizer Damen vom CC Leukerbad mit Skip Diana Kaufmann führten gegen Deutschland bis zum fünften End schon 3 : 0 und hielten diesen Vorsprung fast konstant ; 5 : 3 lautete das Schlussresultat zugunsten der einheimischen Damen .";prozess;frequenziellPROZ;done;ambig AuW;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
85;VVPP;ADJD;steigen;12;NZZ_1996_03_22_a198_seg2_s3;11;Full|Psp;Seit 1983 war der Reiseverkehr der SBB und der Privatbahnen konstant gestiegen , und zwar um volle 42 Prozent .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
86;VVFIN;ADJD;halten;3;NZZ_1994_10_13_a69_seg3_s15;12;Full|3|Pl|Past|Ind;Bis 1990 hielten sich bei der Suva Freizeit- und Berufsunfälle relativ konstant die Waage .;prozess;frequenziellPROZ;done;ambig AuW;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
87;VVFIN;ADJD;nehmen;9;NZZ_1995_11_04_a205_seg7_s5;11;Full|3|Pl|Pres|Ind;Die Ansprüche nach direktdemokratischer Beteiligung am staatlichen Leben nehmen dagegen konstant zu .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
88;VVINF;ADJD;halten;17;NZZ_1996_02_09_a93_seg5_s20;16;Full|-2;Insgesamt will Mercedes seine Belegschaft in Deutschland von derzeit rund 150 000 Mitarbeitern aber ungefähr konstant halten .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
89;VVFIN;ADJD;setzen;8;NZZ_1996_03_06_a42_seg14_s13;13;Full|3|Pl|Pres|Ind;In den renommierten militärischen Zeitschriften der USA setzen sich die militärischen Spitzen konstant mit Problemen des einschneidenden Umbaus von Streitkräften auseinander , wie er in den kommenden Jahren im Rahmen von « Force XXI » und etwa unter dem Stichwort « Information war » durch die zunehmende Digitalisierung des Gefechtsfeldes unumgänglich sein wird .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
90;VVFIN;ADJD;halten;3;NZZ_1996_03_22_a94_seg15_s1;6;Full|3|Sg|Pres|Ind;AT& T hält die Dividende konstant .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
91;VVFIN;ADJD;setzen;32;NZZ_1996_11_20_a175_seg3_s9;29;Full|-2;In den Augen der Rangers-Fans gibt es nur ein Mittel , mit dem ihre Mannschaft ihr Ziel erreichen kann : offensiv spielen , den Gegner von Beginn weg konstant unter Druck setzen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
92;VVPP;ADJD;halten;21;NZZ_1997_09_24_a200_seg8_s10;20;Full|Psp;Zur Bestimmung des R ct -Wertes wird die Platte auf 35 ºC geheizt und die Luft auf 20 ºC konstant gehalten .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
93;VVPP;ADJD;halten;19;NZZ_1994_07_23_a71_seg8_s10;18;Full|Psp;Ursprünglich ging es um die Einhaltung der Metallkonvertierbarkeit , d. h. , der Goldwert von Noten wurde konstant gehalten .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
94;VVPP;ADJD;setzen;9;NZZ_1996_05_09_a197_seg3_s19;2;Full|Psp;"Doch konstant wurde die P-SG-Verteidigung nie unter Druck gesetzt ; auch die Ultima-ratio-Massnahme von Rapid-Coach Dokupil , Iwanow in den letzten Minuten in den Sturm zu beordern ( gegen Sporting Lissabon im Europacup erfolgreich , mit dem bulgarischen Nationalteam im Halbfinal gegen Italien an der WM 1994 weniger ) , änderte nichts mehr - den Kopfball des bulgarischen Irrwisches in der 90. Minute lenkte Lama um den Pfosten .";prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
95;VVINF;ADJD;halten;22;NZZ_1996_10_31_a65_seg3_s9;21;Full|-2;Überraschend kam die Zinserhöhung aber dennoch , da allgemein die Annahme vorherrschte , dass Clarke vor den Parlamentswahlen die Geldpolitik konstant halten werde , um keine negativen Auswirkungen auf die politisch wichtigen Hypothekarzinsen hervorzurufen .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
96;VVFIN;ADJD;weigern;10;NZZ_1994_03_28_a127_seg3_s13;12;Full|3|Sg|Past|Ind;Capirossi wollte die Führung Biaggi aufzwingen , doch dieser weigerte sich konstant .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
97;VVPP;ADJD;liegen;19;NZZ_1999_09_14_a278_seg3_s3;14;Full|Psp;Der Stimmenanteil der rechtspopulistischen Bewegung hat in den letzten vier Jahren aber ziemlich konstant um die 18 Prozent gelegen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
98;VVPP;ADJD;halten;14;NZZ_1997_09_24_a200_seg8_s16;13;Full|Psp;Die Platte mit Schirm und auch die Umgebungsluft werden auf 35 ºC konstant gehalten ( isotherme Bedingungen ) .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
99;VVPP;ADJD;handeln;28;NZZ_1997_07_01_a98_seg3_s8;23;Full|Psp;Jetzt liegen die Schätzungen jedoch nur noch bei etwa 5 Mrd. Rd. , da einerseits der Rand seit Ende vorigen Jahres relativ konstant zu den wichtigsten Weltwährungen gehandelt wird und anderseits die Inflation wieder rückläufig ist .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
100;VVINF;ADJD;halten;13;NZZ_1994_03_10_a190_seg13_s5;11;Full|-2;Bei allen Kraftstoffen wurde versucht , die übrigen Eigenschaften möglichst konstant zu halten , wie zum Beispiel Dampfdruck ( RVP ) , Benzol- und Schwefelgehalt .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
101;VVFIN;ADJD;nennen;50;NZZ_1994_03_05_a144_seg7_s3;46;Full|3|Sg|Pres|Ind;So tauchen Namen von Personen auf , die bisher mit ihrer Zürcher Zeit noch nirgends in Zusammenhang gebracht worden sind : etwa der Arzt Walter Moos als überschwänglich bedankter Veranstalter des Vortrags , der emeritierte Zürcher Gemeinderabbiner Littmann - den sie trotz offensichtlich regelmässigen Kontakten konstant « Lippmann » nennt - oder die Dichterin und Essayistin Margarete Susman .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
102;VVINF;ADJD;halten;36;NZZ_1993_08_19_a121_seg4_s5;34;Full|-2;Ein Esoc-Sprecher schätzte die Lage am Mittwoch als « nicht ganz kritisch » ein : Zur Zeit lieferten die Sonnenzellen noch genug Strom , um die Systeme des Satelliten betriebsfähig und die Temperatur konstant zu halten .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
